Car_type,Make,Model,MSRP
Coupe,Ford,Mustang,24145
Coupe,Chevrolet,Camaro,25700
Coupe,Mini,Cooper,35600
Coupe,Dodge,Challenger,26995
Coupe,BMW,Z4,49700
Sedan,Honda,Accord,22205
Sedan,Honda,Civic,18460
Sedan,Toyota,Corolla,17300
Sedan,Toyota,Camry,23070
Sedan,Volkswagen,Jetta,17680
Sedan,Mitsubishi,Lancer,17595
Sedan,Kia,Optima,21990
Sedan,Hyundai,Elantra,17150
Sedan,Ford,Focus,17225
Sedan,Chevrolet,Cruze,16620
Sedan,Chevrolet,Malibu,21625
Sedan,Chevrolet,Impala,27095
Sedan,Nissan,Altima,22500
Sedan,Ford,Fusion,22260
Sedan,Ford,Taurus,27110
SUV/Crossover,Honda,Pilot,30145
SUV/Crossover,Honda,CRV,23745
SUV/Crossover,Toyota,RAV4,24350
SUV/Crossover,Toyota,highlander,29990
SUV/Crossover,Toyota,4Runner,33810
SUV/Crossover,Toyota,Sequoia,44965
SUV/Crossover,Ford,Escape,23100
SUV/Crossover,Ford,Edge,28700
SUV/Crossover,Ford,Explorer,31050
SUV/Crossover,Ford,Expedition,45435
SUV/Crossover,Chevrolet,Equinox,22600
SUV/Crossover,Chevrolet,Traverse,31205
SUV/Crossover,Chevrolet,Tahoe,47000
SUV/Crossover,Chevrolet,Suburban,49700
Truck,Toyota,Tacoma,23300
Truck,Toyota,Tundra,29950
Truck,Ford,F-150,26430
Truck,Chevrolet,Silverado,27095
Truck,Dodge,Ram,26145
Van/Minivan,Honda,Odyssey,29400
Van/Minivan,Toyota,Sienna,28850
Van/Minivan,Dodge,Caravan,22095
